passenger_id,age,nationality,loyalty_tier,lifetime_flights,lifetime_spend_usd,preferred_cabin,churn_risk_score,digital_checkin,app_user,account_age_years,avg_booking_lead_days,last_flight_days_ago
PAX000000,25,AE,Blue,2,2081.48,Business,0.491,0,1,1.7,24,18
PAX000001,37,QA,Blue,3,3118.22,Economy,0.346,1,0,6.6,29,4
PAX000002,26,SG,Silver,7,10048.61,Economy,0.164,1,0,6.8,26,106
PAX000003,36,QA,Platinum,63,75707.93,First,0.037,1,1,11.7,37,71
PAX000004,27,US,Blue,3,2819.4,Economy,0.385,1,1,8.4,12,58
PAX000005,60,SG,Gold,11,28379.94,Economy,0.059,1,1,10.8,39,30
PAX000006,26,US,Silver,9,6172.56,Economy,0.133,0,0,7.8,35,155
PAX000007,30,QA,Blue,1,3365.76,Economy,0.375,0,1,6.1,32,1
PAX000008,35,IN,Blue,4,2607.28,Economy,0.436,0,0,5.0,55,1
PAX000009,43,US,Silver,11,11473.79,Economy,0.212,1,1,1.3,34,89
PAX000010,37,JP,Gold,38,21466.13,Business,0.017,1,1,3.0,45,111
PAX000011,40,AU,Silver,16,9133.92,Economy,0.178,0,1,9.3,47,12
PAX000012,18,EG,Blue,2,3315.55,Business,0.401,1,1,2.1,30,65
PAX000013,25,QA,Blue,2,1861.57,Economy,0.418,0,1,6.6,33,3
PAX000014,18,AE,Blue,3,2771.05,Economy,0.326,1,1,8.4,19,79
PAX000015,31,EG,Gold,19,26808.9,Economy,0.066,1,1,3.2,37,89
PAX000016,31,TH,Blue,1,2409.85,Economy,0.509,0,0,5.7,44,1
PAX000017,36,SG,Gold,31,19632.4,Economy,0.132,1,1,2.9,8,124
PAX000018,37,QA,Gold,28,18870.72,Business,0.025,1,1,6.8,42,183
PAX000019,37,US,Silver,14,5588.55,Economy,0.099,1,1,2.7,57,198
PAX000020,28,AU,Blue,3,2897.04,Economy,0.393,1,1,8.9,33,53
PAX000021,33,DE,Silver,8,9847.45,Economy,0.209,1,0,2.9,44,49
PAX000022,31,JP,Platinum,57,86591.13,Economy,0.05,1,1,5.8,25,127
PAX000023,18,AU,Blue,1,3074.03,Economy,0.436,1,1,9.8,1,1
PAX000024,31,SG,Blue,3,4082.21,Economy,0.38,0,0,8.9,38,158
PAX000025,59,GB,Gold,17,31098.74,Economy,0.032,1,1,8.1,35,256
PAX000026,25,EG,Blue,3,2391.11,Economy,0.274,1,0,7.9,1,14
PAX000027,32,GB,Blue,3,2994.07,Business,0.363,1,0,5.6,22,94
PAX000028,29,US,Gold,14,22995.8,First,0.082,1,1,1.7,29,37
PAX000029,43,GB,Silver,14,8755.07,Economy,0.146,1,1,11.5,26,138
PAX000030,56,US,Silver,14,9809.24,Economy,0.149,1,1,9.4,66,75
PAX000031,28,EG,Gold,23,20699.6,Economy,0.118,0,1,4.4,21,40
PAX000032,41,QA,Platinum,52,72020.18,Economy,0.012,0,1,4.7,36,88
PAX000033,32,QA,Blue,3,2399.68,Economy,0.32,1,0,5.6,50,59
PAX000034,33,AE,Blue,3,2678.48,Business,0.36,0,0,4.5,6,79
PAX000035,43,QA,Blue,2,2342.02,Economy,0.455,0,0,11.4,56,39
PAX000036,41,GB,Blue,2,2784.78,Economy,0.451,1,1,3.8,37,143
PAX000037,41,GB,Silver,14,8619.06,Economy,0.229,0,0,3.0,33,129
PAX000038,31,SG,Silver,13,8317.61,Economy,0.221,1,1,4.9,36,141
PAX000039,46,QA,Blue,3,3630.57,Business,0.334,1,0,11.7,38,151
