review_id,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_score,recommended,top_complaint,top_complaint_clean,cluster_id,cluster_label,sentiment_type
0,2026,6,Business Class,Couple Leisure,Hong Kong to Doha,Qatar,9,0.3,Yes,no food or used entertainment,no food or used entertainment,1,Poor Food Quality,complaint
1,2026,6,Business Class,Couple Leisure,CAN to HKG,Qatar,6,0.2,Yes,sandwich no choice,sandwich no choice,1,Poor Food Quality,complaint
2,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,0.1,No,cabin baggage allowance too small,cabin baggage allowance too small,3,Baggage Lost,complaint
5,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,-0.1,Yes,"chaotic check-in, unclear boarding","chaotic check-in, unclear boarding",5,Boarding Experience,complaint
6,2026,5,Business Class,Couple Leisure,LHR to DOH,Qatar,9,0.8,Yes,unfortunate issue of having remote parking in Doha,unfortunate issue of having remote parking in doha,6,Doha Airport Experience,complaint
7,2026,4,Business Class,Family Leisure,Johannesburg to Doha,Qatar,6,0.1,Yes,"chaotic boarding, wrong food","chaotic boarding, wrong food",1,Poor Food Quality,complaint
9,2026,3,Economy Class,Couple Leisure,Prague to Bangkok via Doha,Czech Republic,1,-0.85,No,"Zero Communication, no alternatives","zero communication, no alternatives",0,Poor Customer IFE,complaint
10,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,0.85,Yes,return flight cancelled 4 times,return flight cancelled 4 times,2,Delayed Flight,complaint
11,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,-0.3,Yes,Check in and boarding chaos,check in and boarding chaos,5,Boarding Experience,complaint
12,2026,2,Business Class,Couple Leisure,London to Male via Doha,United Kingdom,5,-0.7,No,"champagne ran out early, wine ran out mid-flight","champagne ran out early, wine ran out mid-flight",2,Delayed Flight,complaint
13,2026,2,Business Class,Couple Leisure,Doha to Vienna,Austria,2,-0.7,No,"No compensation offered, nothing.","no compensation offered, nothing.",0,Poor Customer IFE,complaint
14,2026,1,Business Class,Business,Sydney to Doha,Ireland,2,-0.8,No,seat in business class was broken,seat in business class was broken,4,Uncomfortable Seats,complaint
16,2026,1,Business Class,Solo Leisure,Doha to Copenhagen,Iceland,4,-0.8,Yes,seat was cramped and uncomfortable,seat was cramped and uncomfortable,4,Uncomfortable Seats,complaint
18,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,0.6,Yes,"poor F/B choices, unorganized boarding, late bus gate","poor f/b choices, unorganized boarding, late bus gate",5,Boarding Experience,complaint
19,2026,1,Economy Class,Family Leisure,Auckland to Lisbon via Doha,Portugal,4,-0.8,No,food choices ran out twice,food choices ran out twice,1,Poor Food Quality,complaint
21,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,0.1,Yes,"WiFi did not work, no butter, cheese or crackers.","wifi did not work, no butter, cheese or crackers.",8,WiFi Issues,complaint
23,2026,1,Economy Class,Solo Leisure,Abu Dhabi to Doha,Croatia,1,-0.8,No,"no support, no transport","no support, no transport",0,Poor Customer IFE,complaint
