review_id,review_date,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_overall,sentiment_score,keyword,sentiment_type,frequency,rank_global
0,2026-06-06,2026,6,Business Class,Couple Leisure,Hong Kong to Doha,Qatar,9,neutral,0.3,no food,negative,2,36
0,2026-06-06,2026,6,Business Class,Couple Leisure,Hong Kong to Doha,Qatar,9,neutral,0.3,used entertainment,negative,1,37
1,2026-06-06,2026,6,Business Class,Couple Leisure,CAN to HKG,Qatar,6,neutral,0.2,underwhelming,negative,7,31
1,2026-06-06,2026,6,Business Class,Couple Leisure,CAN to HKG,Qatar,6,neutral,0.2,no choice,negative,2,36
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,small,negative,20,19
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,narrow,negative,20,19
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,disappointments,negative,1,37
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,unpleasant,negative,8,30
4,2026-05-19,2026,5,Business Class,Couple Leisure,Doha to Guangzhou,Qatar,8,positive,0.7,tired,negative,10,28
4,2026-05-19,2026,5,Business Class,Couple Leisure,Doha to Guangzhou,Qatar,8,positive,0.7,except,negative,1,37
5,2026-05-14,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.1,chaotic,negative,39,9
5,2026-05-14,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.1,stressed,negative,5,33
5,2026-05-14,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.1,unclear,negative,2,36
6,2026-05-11,2026,5,Business Class,Couple Leisure,LHR to DOH,Qatar,9,positive,0.8,unfortunate,negative,2,36
7,2026-04-09,2026,4,Business Class,Family Leisure,Johannesburg to Doha,Qatar,6,neutral,0.1,chaotic,negative,39,9
7,2026-04-09,2026,4,Business Class,Family Leisure,Johannesburg to Doha,Qatar,6,neutral,0.1,wrong food,negative,1,37
7,2026-04-09,2026,4,Business Class,Family Leisure,Johannesburg to Doha,Qatar,6,neutral,0.1,lowest quality,negative,1,37
8,2026-04-06,2026,4,Business Class,Family Leisure,Doha to Johannesburg,Qatar,10,positive,0.9,did not have,negative,1,37
9,2026-03-15,2026,3,Economy Class,Couple Leisure,Prague to Bangkok via Doha,Czech Republic,1,negative,-0.85,zero communication,negative,1,37
9,2026-03-15,2026,3,Economy Class,Couple Leisure,Prague to Bangkok via Doha,Czech Republic,1,negative,-0.85,absolute silence,negative,1,37
9,2026-03-15,2026,3,Economy Class,Couple Leisure,Prague to Bangkok via Doha,Czech Republic,1,negative,-0.85,no offer of accommodation,negative,1,37
9,2026-03-15,2026,3,Economy Class,Couple Leisure,Prague to Bangkok via Doha,Czech Republic,1,negative,-0.85,forced to buy a new ticket,negative,1,37
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,cancelled,negative,40,8
11,2026-02-18,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,mixed,-0.3,chaos,negative,17,21
11,2026-02-18,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,mixed,-0.3,volatile,negative,1,37
11,2026-02-18,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,mixed,-0.3,cold,negative,17,21
12,2026-02-08,2026,2,Business Class,Couple Leisure,London to Male via Doha,United Kingdom,5,negative,-0.7,experience was not one of our best,negative,1,37
12,2026-02-08,2026,2,Business Class,Couple Leisure,London to Male via Doha,United Kingdom,5,negative,-0.7,not up to scratch,negative,1,37
12,2026-02-08,2026,2,Business Class,Couple Leisure,London to Male via Doha,United Kingdom,5,negative,-0.7,ran out before we were an hour into the flight,negative,1,37
12,2026-02-08,2026,2,Business Class,Couple Leisure,London to Male via Doha,United Kingdom,5,negative,-0.7,ran out before we were half way through the six hour flight,negative,1,37
13,2026-02-05,2026,2,Business Class,Couple Leisure,Doha to Vienna,Austria,2,negative,-0.7,late,negative,46,6
13,2026-02-05,2026,2,Business Class,Couple Leisure,Doha to Vienna,Austria,2,negative,-0.7,mediocre,negative,19,20
13,2026-02-05,2026,2,Business Class,Couple Leisure,Doha to Vienna,Austria,2,negative,-0.7,nothing,negative,6,32
14,2026-01-30,2026,1,Business Class,Business,Sydney to Doha,Ireland,2,negative,-0.8,broken,negative,17,21
14,2026-01-30,2026,1,Business Class,Business,Sydney to Doha,Ireland,2,negative,-0.8,arm rest,negative,1,37
14,2026-01-30,2026,1,Business Class,Business,Sydney to Doha,Ireland,2,negative,-0.8,changed,negative,12,26
