review_id,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_score,recommended,top_praise,top_praise_clean,cluster_id,cluster_label,sentiment_type
2,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,0.1,No,onboard entertainment and cabin crew service good,onboard entertainment and cabin crew service good,6,Cabin Crew Friendly,praise
3,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,0.9,Yes,seat was spacious and fully flat bed,seat was spacious and fully flat bed,3,Comfortable Seats,praise
4,2026,5,Business Class,Couple Leisure,Doha to Guangzhou,Qatar,8,0.7,Yes,Very nice QSuites,very nice qsuites,7,QSuites Experience,praise
5,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,-0.1,Yes,"good service, Al Safwa lounge good as always","good service, al safwa lounge good as always",4,Good <-> Excellent/Exceptional,praise
6,2026,5,Business Class,Couple Leisure,LHR to DOH,Qatar,9,0.8,Yes,"service was of excellent quality, WIFI was excellent","service was of excellent quality, wifi was excellent",4,Good <-> Excellent/Exceptional,praise
8,2026,4,Business Class,Family Leisure,Doha to Johannesburg,Qatar,10,0.9,Yes,Very comfortable flight,very comfortable flight,8,Good <-> Excellent/Exceptional,praise
10,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,0.85,Yes,"great lie-flat seat, great food, cabin felt homely","great lie-flat seat, great food, cabin felt homely",3,Comfortable Seats,praise
11,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,-0.3,Yes,"High standard of cleanliness, cabin crew groomed to high standard","high standard of cleanliness, cabin crew groomed to high standard",6,Cabin Crew Friendly,praise
15,2026,1,Business Class,Solo Leisure,Goa to Doha,Iceland,9,0.8,Yes,predictably high-quality product,predictably high-quality product,5,Class Experience,praise
17,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,0.9,Yes,"crew was professional, friendly, and helpful","crew was professional, friendly, and helpful",6,Cabin Crew Friendly,praise
18,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,0.6,Yes,"excellent service by chief purser, uneventful flights","excellent service by chief purser, uneventful flights",8,Good <-> Excellent/Exceptional,praise
20,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,0.95,Yes,"cabin crew warmth, professionalism, attentiveness","cabin crew warmth, professionalism, attentiveness",6,Cabin Crew Friendly,praise
21,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,0.1,Yes,"Service was fast and friendly, flight arrived early.","service was fast and friendly, flight arrived early.",8,Good <-> Excellent/Exceptional,praise
22,2026,1,Business Class,Solo Leisure,Heathrow to Perth via Doha,United Kingdom,10,0.9,Yes,"excellent service, first class experience","excellent service, first class experience",4,Good <-> Excellent/Exceptional,praise
