review_id,year,seat_type,type_of_traveller,route,overall_rating_10,sentiment_score,top_praise,frequency,rank
2,2026,Economy Class,Business,Guangzhou to Doha,6,0.1,onboard entertainment and cabin crew service good,1,3
3,2026,Business Class,Solo Leisure,Doha to Kochi,10,0.9,seat was spacious and fully flat bed,1,3
4,2026,Business Class,Couple Leisure,Doha to Guangzhou,8,0.7,very nice qsuites,1,3
5,2026,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,5,-0.1,"good service, al safwa lounge good as always",1,3
6,2026,Business Class,Couple Leisure,LHR to DOH,9,0.8,"service was of excellent quality, wifi was excellent",1,3
8,2026,Business Class,Family Leisure,Doha to Johannesburg,10,0.9,very comfortable flight,1,3
10,2026,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,10,0.85,"great lie-flat seat, great food, cabin felt homely",1,3
11,2026,Economy Class,Business,Gatwick to Doha,5,-0.3,"high standard of cleanliness, cabin crew groomed to high standard",1,3
15,2026,Business Class,Solo Leisure,Goa to Doha,9,0.8,predictably high-quality product,1,3
17,2026,Economy Class,Solo Leisure,Dublin to Muscat via Doha,10,0.9,"crew was professional, friendly, and helpful",1,3
18,2026,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,8,0.6,"excellent service by chief purser, uneventful flights",1,3
20,2026,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,10,0.95,"cabin crew warmth, professionalism, attentiveness",1,3
21,2026,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,5,0.1,"service was fast and friendly, flight arrived early.",1,3
22,2026,Business Class,Solo Leisure,Heathrow to Perth via Doha,10,0.9,"excellent service, first class experience",1,3
24,2025,Business Class,Couple Leisure,Munich to Johannesburg via Doha,10,1.0,"very clean, neat, professional, friendly, humble",1,3
25,2025,Economy Class,Solo Leisure,Tokyo Narita to Doha,10,0.9,"super comfortable seat, very delicious food",1,3
26,2025,Economy Class,Solo Leisure,Casablanca to Doha,8,0.9,"fas managed well, food and drinks excellent",1,3
27,2025,Economy Class,Couple Leisure,Hanoi to Dusseldorf via Doha,7,0.2,crew was hard working,2,2
28,2025,Business Class,Solo Leisure,Doha to Goa,10,0.9,"superb onboard service, fast reliable wi-fi",1,3
29,2025,Business Class,Solo Leisure,CPH to DOH,10,0.8,"warm, attentive service",1,3
30,2025,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,9,0.9,"high-quality travel experience, well-organized and professional",1,3
32,2025,Business Class,Couple Leisure,Sharjah to Phuket via Doha,10,0.95,"exceptional level of service, seamless experience",1,3
33,2025,Economy Class,Business,Sao Paulo to Moscow via Doha,10,0.9,vegan special meal was thoughtfully prepared,1,3
