flight_id,flight_date,month,route,aircraft_type,scheduled_duration_min,departure_delay_min,arrival_delay_min,on_time_delivery,load_factor,pax_capacity,pax_boarded,fuel_efficiency_lp100km,technical_delay,catering_issue
QA496,2024-10-04,10,DOH-DXB,A320neo,60,0.0,0.0,1,0.84,180,151,4.73,0,0
QA897,2024-03-25,3,DOH-SIN,A350-900,390,8.9,12.5,1,1.0,280,280,4.41,0,0
QA462,2024-05-15,5,DOH-SYD,A380-800,780,0.0,0.0,1,0.869,400,348,4.42,0,0
QA917,2024-10-28,10,DOH-JFK,A350-900,510,8.1,10.8,1,0.921,290,267,4.46,1,0
QA211,2024-03-13,3,DOH-SIN,B777-300ER,390,3.0,0.0,1,0.855,280,239,4.33,0,0
QA136,2024-04-06,4,DOH-LHR,A380-800,420,3.2,5.1,1,0.798,310,247,4.74,0,0
QA390,2024-09-24,9,DOH-CDG,A380-800,390,0.0,0.0,1,0.979,300,294,4.77,0,0
QA749,2024-10-31,10,DOH-JFK,A350-900,510,1.9,0.0,1,0.81,290,235,4.37,0,0
QA560,2024-01-06,1,DOH-DXB,A321neo,60,7.7,10.3,1,0.793,180,143,4.56,0,0
QA149,2024-04-16,4,DOH-DXB,A321neo,60,0.0,0.0,1,0.856,180,154,4.63,0,0
QA194,2024-04-26,4,DOH-LHR,A380-800,420,4.2,0.3,1,0.888,310,275,5.04,0,0
QA957,2024-08-22,8,DOH-JFK,B777-300ER,510,0.0,1.9,1,0.91,290,264,4.51,0,0
QA745,2024-03-22,3,DOH-BKK,A350-900,360,13.4,9.1,1,0.88,290,255,5.23,0,0
QA792,2024-08-26,8,DOH-BKK,A350-900,360,50.8,41.2,0,1.0,290,290,4.64,0,0
QA729,2024-05-29,5,DOH-BKK,A350-900,360,10.0,5.6,1,0.883,290,256,4.78,0,0
QA849,2024-02-16,2,DOH-BOM,B777-300ER,180,33.1,30.9,0,0.856,175,150,4.67,0,0
QA174,2024-12-18,12,DOH-DXB,A320neo,60,29.2,25.5,0,0.833,180,150,4.72,0,0
QA191,2024-05-03,5,DOH-SYD,A350-900,780,8.5,10.8,1,0.833,400,333,5.49,0,0
QA920,2024-01-28,1,DOH-LHR,A380-800,420,13.3,8.1,1,0.862,310,267,4.29,0,0
QA249,2024-02-01,2,DOH-DXB,A320neo,60,28.6,25.5,0,0.855,180,154,5.08,0,0
QA920,2024-05-12,5,DOH-LHR,A380-800,420,13.9,12.5,1,0.908,310,281,4.79,0,0
QA307,2024-10-02,10,DOH-NRT,B777-300ER,480,9.4,8.2,1,0.884,280,248,4.59,0,0
QA657,2024-01-03,1,DOH-BKK,A350-900,360,26.7,18.2,0,0.791,290,229,3.71,0,0
QA925,2024-10-08,10,DOH-SYD,A380-800,780,12.2,6.1,1,0.94,400,376,4.36,0,0
QA714,2024-12-06,12,DOH-CDG,A350-900,390,0.0,0.6,1,0.849,300,255,4.37,0,0
QA904,2024-10-30,10,DOH-CDG,A380-800,390,12.0,6.9,1,0.817,300,245,4.16,0,0
QA356,2024-11-12,11,DOH-SYD,A350-900,780,16.3,9.9,1,0.84,400,336,5.13,0,0
QA986,2024-12-30,12,DOH-DXB,A320neo,60,0.0,0.0,1,0.725,180,130,4.71,0,0
QA854,2024-08-01,8,DOH-SYD,A350-900,780,15.4,13.1,1,0.831,400,332,4.89,0,0
QA757,2024-09-12,9,DOH-SIN,A350-900,390,7.4,2.6,1,0.812,280,227,4.26,0,0
QA150,2024-01-05,1,DOH-CDG,A380-800,390,2.6,4.6,1,0.833,300,250,4.05,0,1
QA397,2024-08-04,8,DOH-DXB,A320neo,60,20.7,15.9,0,0.884,180,159,4.48,1,0
QA724,2024-02-17,2,DOH-BKK,B777-300ER,360,6.1,2.9,1,0.921,290,267,4.12,0,0
QA756,2024-08-06,8,DOH-DXB,A320neo,60,12.6,11.8,1,0.77,180,139,4.73,0,0
QA975,2024-01-12,1,DOH-CDG,A380-800,390,19.4,16.7,0,0.722,300,217,4.53,0,0
QA117,2024-02-07,2,DOH-JFK,A350-900,510,16.9,15.5,0,0.973,290,282,3.87,0,0
QA592,2024-05-10,5,DOH-JFK,B777-300ER,510,2.0,5.3,1,0.912,290,264,5.02,0,0
QA926,2024-08-20,8,DOH-DXB,A320neo,60,10.3,7.3,1,0.858,180,154,4.67,0,0
QA897,2024-11-15,11,DOH-LHR,A350-900,420,0.2,1.5,1,0.856,310,265,4.2,0,0
QA397,2024-03-28,3,DOH-BOM,A320neo,180,7.5,5.3,1,1.0,175,175,4.79,0,0
QA741,2024-08-26,8,DOH-CDG,A380-800,390,6.4,7.1,1,0.953,300,286,4.09,0,0
QA388,2024-04-07,4,DOH-LHR,A350-900,420,17.8,20.5,0,0.939,310,291,3.84,0,0
QA176,2024-03-06,3,DOH-JFK,A350-900,510,6.2,5.2,1,0.746,290,216,4.17,0,0
QA538,2024-12-29,12,DOH-CDG,A380-800,390,12.4,11.1,1,0.87,300,261,4.95,0,0
QA462,2024-01-08,1,DOH-DXB,A320neo,60,8.4,8.8,1,0.786,180,141,5.13,0,0
QA826,2024-01-20,1,DOH-SYD,A380-800,780,0.9,0.0,1,0.743,400,297,4.71,1,0
QA214,2024-03-10,3,DOH-SYD,A350-900,780,9.3,9.7,1,0.777,400,311,3.93,0,0
QA452,2024-06-20,6,DOH-LHR,A350-900,420,13.5,16.1,0,0.987,310,306,4.65,0,0
QA543,2024-03-05,3,DOH-BOM,B777-300ER,180,36.3,31.6,0,0.849,175,149,5.1,0,0
QA668,2024-12-28,12,DOH-SYD,A380-800,780,5.0,8.5,1,0.879,400,352,4.61,0,0
QA154,2024-06-06,6,DOH-LHR,A380-800,420,0.0,0.2,1,0.927,310,287,4.48,0,0
QA853,2024-04-26,4,DOH-JFK,B777-300ER,510,10.9,16.2,0,0.861,290,250,5.21,0,0
QA273,2024-10-28,10,DOH-SIN,B777-300ER,390,10.5,6.6,1,0.789,280,221,5.49,0,0
QA910,2024-01-23,1,DOH-SIN,B777-300ER,390,18.5,14.3,1,0.904,280,253,4.64,0,0
QA263,2024-11-15,11,DOH-BKK,B777-300ER,360,12.3,16.4,0,0.76,290,220,4.72,0,0
QA427,2024-02-06,2,DOH-JFK,B777-300ER,510,7.9,5.3,1,0.907,290,263,5.02,0,0
QA761,2024-04-28,4,DOH-CDG,A380-800,390,2.1,0.1,1,0.849,300,255,3.95,0,0
QA102,2024-05-24,5,DOH-JFK,B777-300ER,510,22.5,16.6,0,0.792,290,230,4.1,0,0
QA301,2024-09-12,9,DOH-DXB,A320neo,60,12.6,9.9,1,0.884,180,159,4.91,0,0
QA695,2024-04-05,4,DOH-LHR,A350-900,420,0.0,0.5,1,0.788,310,244,4.81,0,0
QA310,2024-03-31,3,DOH-JFK,B777-300ER,510,18.3,16.9,0,0.829,290,240,3.95,0,1
QA497,2024-05-31,5,DOH-JFK,B777-300ER,510,18.1,11.6,1,0.995,290,289,4.46,0,0
QA276,2024-06-16,6,DOH-SYD,A350-900,780,0.7,0.0,1,0.877,400,351,5.09,0,0
QA133,2024-11-24,11,DOH-BOM,B777-300ER,180,3.4,0.0,1,0.852,175,149,5.13,0,0
QA794,2024-02-27,2,DOH-BKK,B777-300ER,360,6.3,4.1,1,0.852,290,247,4.14,0,0
QA785,2024-09-10,9,DOH-LHR,A350-900,420,16.3,10.2,1,0.929,310,288,4.71,0,0
QA731,2024-10-25,10,DOH-SIN,A350-900,390,6.1,7.3,1,0.815,280,228,3.79,0,0
QA671,2024-12-17,12,DOH-SIN,A350-900,390,16.7,10.7,1,0.857,280,240,4.76,0,0
QA505,2024-07-05,7,DOH-JFK,A350-900,510,0.7,2.9,1,0.908,290,263,4.06,1,0
QA873,2024-09-01,9,DOH-LHR,A380-800,420,1.7,0.0,1,0.865,310,268,4.83,0,0
QA270,2024-08-19,8,DOH-DXB,A320neo,60,4.5,3.2,1,0.901,180,162,4.54,0,0
QA969,2024-12-20,12,DOH-JFK,B777-300ER,510,15.2,15.1,0,0.96,290,278,5.1,0,0
QA791,2024-11-20,11,DOH-DXB,A320neo,60,0.0,0.0,1,0.806,180,145,4.59,0,0
QA926,2024-01-30,1,DOH-JFK,B777-300ER,510,0.0,2.0,1,0.883,290,256,4.61,0,0
QA714,2024-06-05,6,DOH-SIN,B777-300ER,390,4.6,1.9,1,0.842,280,236,4.41,0,0
QA736,2024-10-05,10,DOH-BOM,B777-300ER,180,0.0,4.7,1,0.847,175,148,4.83,0,0
QA568,2024-09-06,9,DOH-DXB,A320neo,60,24.8,19.5,0,0.771,180,139,4.21,0,0
QA930,2024-06-13,6,DOH-NRT,A350-900,480,0.2,4.5,1,0.924,280,259,5.15,0,0
QA648,2024-05-27,5,DOH-CDG,A380-800,390,3.1,0.0,1,0.948,300,284,3.94,0,0
QA794,2024-09-10,9,DOH-CDG,A350-900,390,32.7,27.5,0,0.836,300,251,4.46,0,0
QA844,2024-01-02,1,DOH-CAI,A321neo,150,18.4,18.9,0,0.85,160,136,4.34,0,0
QA713,2024-05-06,5,DOH-SYD,A350-900,780,0.0,0.0,1,0.923,400,369,4.49,0,0
QA667,2024-08-26,8,DOH-DXB,A321neo,60,22.9,18.6,0,0.943,180,170,4.99,0,0
QA962,2024-11-19,11,DOH-JFK,B777-300ER,510,8.8,7.1,1,0.914,290,265,4.6,0,0
QA111,2024-05-15,5,DOH-SYD,A380-800,780,5.4,1.6,1,0.927,400,371,4.45,0,0
QA155,2024-12-26,12,DOH-BKK,B777-300ER,360,0.0,3.1,1,0.801,290,232,3.81,0,0
QA995,2024-03-11,3,DOH-DXB,A320neo,60,8.6,7.4,1,0.807,180,145,4.84,0,0
QA983,2024-04-28,4,DOH-JFK,A350-900,510,5.8,6.6,1,0.803,290,233,4.7,0,0
