passenger_id,flight_date,month,route,cabin_class,loyalty_tier,ife_used,ife_usage_mins,meal_choice,wifi_purchased,wifi_usage_mins,amenity_kit_used,upgrade_offered,upgrade_accepted,ancillary_revenue_usd
PAX028339,2024-05-18,5,DOH-BKK,Business,Blue,1,216,Kids,0,0,1,0,0,4.99
PAX009725,2024-02-16,2,DOH-JFK,First,Blue,1,325,Standard,1,270,1,1,1,377.4
PAX011148,2024-09-24,9,DOH-LHR,Economy,Blue,1,325,Standard,0,0,1,1,1,372.91
PAX029096,2024-09-15,9,DOH-LHR,Business,Blue,1,223,Standard,0,0,1,0,0,12.97
PAX042655,2024-06-15,6,DOH-JFK,Economy,Gold,0,0,Standard,1,265,1,0,0,39.01
PAX046734,2024-05-25,5,DOH-SIN,Economy,Gold,1,217,Standard,0,0,0,1,0,5.57
PAX011477,2024-09-06,9,DOH-BKK,Business,Gold,1,224,Standard,0,0,1,0,0,8.85
PAX036503,2024-05-16,5,DOH-DXB,Economy,Blue,0,0,Vegetarian,0,0,1,1,1,360.01
PAX001178,2024-03-05,3,DOH-DXB,Business,Blue,1,87,Standard,0,0,0,1,0,10.91
PAX020125,2024-06-17,6,DOH-NRT,Economy,Silver,1,284,Standard,0,0,1,1,1,367.61
PAX039396,2024-07-07,7,DOH-JFK,First,Silver,1,322,Vegan,1,283,1,0,0,30.53
PAX035335,2024-12-20,12,DOH-LHR,Economy,Silver,1,250,Kids,1,220,0,0,0,26.78
PAX023298,2024-07-24,7,DOH-LHR,Economy,Blue,1,267,Halal,1,239,0,0,0,28.27
PAX013452,2024-10-18,10,DOH-LHR,Economy,Blue,1,298,Standard,0,0,0,1,0,1.75
PAX041402,2024-01-09,1,DOH-DXB,Economy,Platinum,1,49,Standard,1,19,0,0,0,28.09
PAX039320,2024-04-06,4,DOH-NRT,Economy,Silver,0,0,Vegetarian,1,216,1,0,0,40.94
PAX019229,2024-04-28,4,DOH-SYD,Economy,Silver,1,529,Standard,0,0,1,0,0,20.21
