review_id,review_date,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_overall,sentiment_score,keyword,sentiment_type,frequency,rank_global,freq_within_type
0,2026-06-06,2026,6,Business Class,Couple Leisure,Hong Kong to Doha,Qatar,9,neutral,0.3,nice qsuites,positive,1,58,1
1,2026-06-06,2026,6,Business Class,Couple Leisure,CAN to HKG,Qatar,6,neutral,0.2,comfortable,positive,304,2,304
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,service,positive,129,10,129
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,friendly,positive,259,3,259
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,excellent,positive,309,1,309
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,great,positive,197,5,197
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,outstanding,positive,87,14,87
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,memorable,positive,8,51,8
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,exceeded expectations,positive,2,57,2
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,calm,positive,11,48,11
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,comfortable,positive,304,2,304
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,thoughtfully presented,positive,1,58,1
4,2026-05-19,2026,5,Business Class,Couple Leisure,Doha to Guangzhou,Qatar,8,positive,0.7,nice,positive,130,9,130
4,2026-05-19,2026,5,Business Class,Couple Leisure,Doha to Guangzhou,Qatar,8,positive,0.7,great,positive,197,5,197
4,2026-05-19,2026,5,Business Class,Couple Leisure,Doha to Guangzhou,Qatar,8,positive,0.7,good,positive,245,4,245
5,2026-05-14,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.1,service,positive,129,10,129
5,2026-05-14,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.1,good,positive,245,4,245
5,2026-05-14,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.1,lounge,positive,6,53,6
6,2026-05-11,2026,5,Business Class,Couple Leisure,LHR to DOH,Qatar,9,positive,0.8,excellent,positive,309,1,309
6,2026-05-11,2026,5,Business Class,Couple Leisure,LHR to DOH,Qatar,9,positive,0.8,quality,positive,41,27,41
6,2026-05-11,2026,5,Business Class,Couple Leisure,LHR to DOH,Qatar,9,positive,0.8,service,positive,129,10,129
7,2026-04-09,2026,4,Business Class,Family Leisure,Johannesburg to Doha,Qatar,6,neutral,0.1,wonderful experience,positive,6,53,6
8,2026-04-06,2026,4,Business Class,Family Leisure,Doha to Johannesburg,Qatar,10,positive,0.9,wonderful,positive,70,17,70
8,2026-04-06,2026,4,Business Class,Family Leisure,Doha to Johannesburg,Qatar,10,positive,0.9,comfortable,positive,304,2,304
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,cheap,positive,4,55,4
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,treated,positive,6,53,6
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,welcome,positive,9,50,9
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,great,positive,197,5,197
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,homely,positive,1,58,1
11,2026-02-18,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,mixed,-0.3,cabin,positive,2,57,2
11,2026-02-18,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,mixed,-0.3,staff,positive,16,43,16
11,2026-02-18,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,mixed,-0.3,tasty,positive,46,25,46
12,2026-02-08,2026,2,Business Class,Couple Leisure,London to Male via Doha,United Kingdom,5,negative,-0.7,hard product,positive,1,58,1
13,2026-02-05,2026,2,Business Class,Couple Leisure,Doha to Vienna,Austria,2,negative,-0.7,fine,positive,14,45,14
13,2026-02-05,2026,2,Business Class,Couple Leisure,Doha to Vienna,Austria,2,negative,-0.7,qsuites,positive,1,58,1
15,2026-01-24,2026,1,Business Class,Solo Leisure,Goa to Doha,Iceland,9,positive,0.8,comfortable,positive,304,2,304
15,2026-01-24,2026,1,Business Class,Solo Leisure,Goa to Doha,Iceland,9,positive,0.8,efficient,positive,62,19,62
15,2026-01-24,2026,1,Business Class,Solo Leisure,Goa to Doha,Iceland,9,positive,0.8,high-quality,positive,1,58,1
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,fantastic,positive,74,16,74
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,professional,positive,132,8,132
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,friendly,positive,259,3,259
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,helpful,positive,149,6,149
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,outstanding,positive,87,14,87
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,smoothly,positive,4,55,4
18,2026-01-14,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,positive,0.6,friendly,positive,259,3,259
18,2026-01-14,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,positive,0.6,decent food and drinks,positive,1,58,1
18,2026-01-14,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,positive,0.6,great service provided,positive,1,58,1
18,2026-01-14,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,positive,0.6,uneventful,positive,4,55,4
