review_id,review_date,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_overall,sentiment_score,keyword,sentiment_type,frequency,rank_global
0,2026-06-06,2026,6,Business Class,Couple Leisure,Hong Kong to Doha,Qatar,9,neutral,0.3,nice qsuites,positive,1,58
1,2026-06-06,2026,6,Business Class,Couple Leisure,CAN to HKG,Qatar,6,neutral,0.2,comfortable,positive,304,2
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,service,positive,129,10
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,friendly,positive,259,3
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,excellent,positive,309,1
2,2026-05-29,2026,5,Economy Class,Business,Guangzhou to Doha,France,6,mixed,0.1,great,positive,197,5
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,outstanding,positive,87,14
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,memorable,positive,8,51
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,exceeded expectations,positive,2,57
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,calm,positive,11,48
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,comfortable,positive,304,2
3,2026-05-21,2026,5,Business Class,Solo Leisure,Doha to Kochi,Qatar,10,positive,0.9,thoughtfully presented,positive,1,58
4,2026-05-19,2026,5,Business Class,Couple Leisure,Doha to Guangzhou,Qatar,8,positive,0.7,nice,positive,130,9
4,2026-05-19,2026,5,Business Class,Couple Leisure,Doha to Guangzhou,Qatar,8,positive,0.7,great,positive,197,5
4,2026-05-19,2026,5,Business Class,Couple Leisure,Doha to Guangzhou,Qatar,8,positive,0.7,good,positive,245,4
5,2026-05-14,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.1,service,positive,129,10
5,2026-05-14,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.1,good,positive,245,4
5,2026-05-14,2026,5,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.1,lounge,positive,6,53
6,2026-05-11,2026,5,Business Class,Couple Leisure,LHR to DOH,Qatar,9,positive,0.8,excellent,positive,309,1
6,2026-05-11,2026,5,Business Class,Couple Leisure,LHR to DOH,Qatar,9,positive,0.8,quality,positive,41,27
6,2026-05-11,2026,5,Business Class,Couple Leisure,LHR to DOH,Qatar,9,positive,0.8,service,positive,129,10
7,2026-04-09,2026,4,Business Class,Family Leisure,Johannesburg to Doha,Qatar,6,neutral,0.1,wonderful experience,positive,6,53
8,2026-04-06,2026,4,Business Class,Family Leisure,Doha to Johannesburg,Qatar,10,positive,0.9,wonderful,positive,70,17
8,2026-04-06,2026,4,Business Class,Family Leisure,Doha to Johannesburg,Qatar,10,positive,0.9,comfortable,positive,304,2
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,cheap,positive,4,55
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,treated,positive,6,53
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,welcome,positive,9,50
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,great,positive,197,5
10,2026-03-15,2026,3,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,Netherlands,10,positive,0.85,homely,positive,1,58
11,2026-02-18,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,mixed,-0.3,cabin,positive,2,57
11,2026-02-18,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,mixed,-0.3,staff,positive,16,43
11,2026-02-18,2026,2,Economy Class,Business,Gatwick to Doha,United Kingdom,5,mixed,-0.3,tasty,positive,46,25
12,2026-02-08,2026,2,Business Class,Couple Leisure,London to Male via Doha,United Kingdom,5,negative,-0.7,hard product,positive,1,58
13,2026-02-05,2026,2,Business Class,Couple Leisure,Doha to Vienna,Austria,2,negative,-0.7,fine,positive,14,45
13,2026-02-05,2026,2,Business Class,Couple Leisure,Doha to Vienna,Austria,2,negative,-0.7,qsuites,positive,1,58
15,2026-01-24,2026,1,Business Class,Solo Leisure,Goa to Doha,Iceland,9,positive,0.8,comfortable,positive,304,2
15,2026-01-24,2026,1,Business Class,Solo Leisure,Goa to Doha,Iceland,9,positive,0.8,efficient,positive,62,19
15,2026-01-24,2026,1,Business Class,Solo Leisure,Goa to Doha,Iceland,9,positive,0.8,high-quality,positive,1,58
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,fantastic,positive,74,16
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,professional,positive,132,8
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,friendly,positive,259,3
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,helpful,positive,149,6
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,outstanding,positive,87,14
17,2026-01-18,2026,1,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Ireland,10,positive,0.9,smoothly,positive,4,55
18,2026-01-14,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,positive,0.6,friendly,positive,259,3
18,2026-01-14,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,positive,0.6,decent food and drinks,positive,1,58
18,2026-01-14,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,positive,0.6,great service provided,positive,1,58
18,2026-01-14,2026,1,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Germany,8,positive,0.6,uneventful,positive,4,55
19,2026-01-11,2026,1,Economy Class,Family Leisure,Auckland to Lisbon via Doha,Portugal,4,negative,-0.8,inflight entertainment,positive,1,58
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,extraordinary,positive,7,52
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,warmth,positive,3,56
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,professionalism,positive,18,41
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,attentiveness,positive,5,54
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,restaurant-quality,positive,2,57
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,magical,positive,1,58
21,2026-01-08,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,neutral,0.1,friendly,positive,259,3
21,2026-01-08,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,neutral,0.1,fast,positive,17,42
21,2026-01-08,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,neutral,0.1,uneventful,positive,4,55
21,2026-01-08,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,neutral,0.1,ahead,positive,6,53
22,2026-01-06,2026,1,Business Class,Solo Leisure,Heathrow to Perth via Doha,United Kingdom,10,positive,0.9,excellent,positive,309,1
22,2026-01-06,2026,1,Business Class,Solo Leisure,Heathrow to Perth via Doha,United Kingdom,10,positive,0.9,special,positive,9,50
22,2026-01-06,2026,1,Business Class,Solo Leisure,Heathrow to Perth via Doha,United Kingdom,10,positive,0.9,bonus,positive,2,57
22,2026-01-06,2026,1,Business Class,Solo Leisure,Heathrow to Perth via Doha,United Kingdom,10,positive,0.9,fast tracked,positive,2,57
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,incredible,positive,13,46
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,perfect,positive,41,27
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,clean,positive,78,15
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,professional,positive,132,8
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,friendly,positive,259,3
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,humble,positive,1,58
25,2025-12-26,2025,12,Economy Class,Solo Leisure,Tokyo Narita to Doha,Bahrain,10,positive,0.9,comfortable,positive,304,2
25,2025-12-26,2025,12,Economy Class,Solo Leisure,Tokyo Narita to Doha,Bahrain,10,positive,0.9,delicious,positive,61,20
25,2025-12-26,2025,12,Economy Class,Solo Leisure,Tokyo Narita to Doha,Bahrain,10,positive,0.9,amazing,positive,137,7
25,2025-12-26,2025,12,Economy Class,Solo Leisure,Tokyo Narita to Doha,Bahrain,10,positive,0.9,reliable,positive,9,50
26,2025-12-26,2025,12,Economy Class,Solo Leisure,Casablanca to Doha,Rwanda,8,positive,0.9,on time,positive,53,23
26,2025-12-26,2025,12,Economy Class,Solo Leisure,Casablanca to Doha,Rwanda,8,positive,0.9,managed well,positive,1,58
26,2025-12-26,2025,12,Economy Class,Solo Leisure,Casablanca to Doha,Rwanda,8,positive,0.9,ate and drank all that i wanted,positive,1,58
26,2025-12-26,2025,12,Economy Class,Solo Leisure,Casablanca to Doha,Rwanda,8,positive,0.9,felt in love with their fish dish,positive,1,58
27,2025-12-24,2025,12,Economy Class,Couple Leisure,Hanoi to Dusseldorf via Doha,Germany,7,mixed,0.2,hard working,positive,4,55
27,2025-12-24,2025,12,Economy Class,Couple Leisure,Hanoi to Dusseldorf via Doha,Germany,7,mixed,0.2,good,positive,245,4
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,superb,positive,57,22
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,exceptionally comfortable,positive,2,57
