review_id,review_date,year,month,reviewer_country,seat_type,type_of_traveller,route,aircraft,overall_rating_10,recommended,trip_verified,review_title,score_seat_comfort,score_cabin_staff,score_food_beverages,score_ife,score_ground_service,score_wifi,score_value_for_money,sentiment_overall,sentiment_score,emotion_primary,is_sarcastic,sarcasm_flag_reason,theme_seat_comfort,theme_cabin_crew,theme_food_beverage,theme_ife,theme_wifi,theme_lounge,theme_boarding,theme_cleanliness,theme_value,theme_punctuality,top_complaint,top_praise,competitor_mentioned,competitor_name,competitor_sentiment,would_rebook_signal,service_recovery_mentioned,loyalty_program_mentioned,positive_keywords,negative_keywords,product_implications
0,2026-06-06,2026,6,Qatar,Business Class,Couple Leisure,Hong Kong to Doha,A350-1000,9,Yes,Yes,"""just had to just sleep""",4,4,Not Rated,Not Rated,3,Not Rated,4,neutral,0.3,satisfied,False,,positive,not_mentioned,negative,neutral,not_mentioned,not_mentioned,not_mentioned,not_mentioned,neutral,not_mentioned,no food or used entertainment,,True,Cathay Pacific,neutral,maybe,False,False,nice QSuites,no food | used entertainment,Improve in-flight food options | None
1,2026-06-06,2026,6,Qatar,Business Class,Couple Leisure,CAN to HKG,A330-200,6,Yes,Yes,"""sandwich no choice""",3,3,1,1,3,Not Rated,3,neutral,0.2,disappointed,True,sarcastic comment about sandwich choice,positive,not_mentioned,negative,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,neutral,not_mentioned,sandwich no choice,,False,,,maybe,False,False,comfortable,underwhelming | no choice,Improve food options in short flights. | None
2,2026-05-29,2026,5,France,Economy Class,Business,Guangzhou to Doha,Boeing 777-300ER,6,No,Yes,"""cabin crew was professional and friendly""",2,5,5,5,2,5,2,mixed,0.1,satisfied,False,,negative,positive,positive,positive,neutral,not_mentioned,neutral,neutral,negative,neutral,cabin baggage allowance too small,onboard entertainment and cabin crew service good,False,,,maybe,False,False,service | friendly | excellent | great,small | narrow | disappointments | unpleasant,Improve seat comfort and size in economy class. | Review baggage allowance policies to avoid customer dissatisfaction.
3,2026-05-21,2026,5,Qatar,Business Class,Solo Leisure,Doha to Kochi,Not Rated,10,Yes,Yes,"""Outstanding experience""",5,5,5,5,5,5,5,positive,0.9,delighted,False,,positive,positive,positive,not_mentioned,not_mentioned,positive,positive,not_mentioned,positive,not_mentioned,,seat was spacious and fully flat bed,False,,,yes,False,False,outstanding | memorable | exceeded expectations | calm | comfortable | thoughtfully presented,,Improve IFE content variety | Enhance lounge amenities
4,2026-05-19,2026,5,Qatar,Business Class,Couple Leisure,Doha to Guangzhou,Boeing 777-300,8,Yes,Yes,"""Very nice QSuites""",5,4,Not Rated,4,5,4,4,positive,0.7,satisfied,False,,positive,neutral,negative,not_mentioned,positive,not_mentioned,not_mentioned,not_mentioned,neutral,not_mentioned,,Very nice QSuites,False,,,yes,False,False,nice | great | good,tired | except,Improve food options for tired passengers. | Enhance Wi-Fi coverage in India.
5,2026-05-14,2026,5,Thailand,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Boeing 789/ / 777-300,5,Yes,Yes,"""service was very good""",4,5,4,3,1,4,3,mixed,-0.1,frustrated,False,,not_mentioned,positive,neutral,not_mentioned,not_mentioned,positive,negative,not_mentioned,not_mentioned,neutral,"chaotic check-in, unclear boarding","good service, Al Safwa lounge good as always",False,,,yes,False,False,service | good | lounge,chaotic | stressed | unclear,Improve check-in process efficiency | Clearer boarding information
6,2026-05-11,2026,5,Qatar,Business Class,Couple Leisure,LHR to DOH,Boeing 777,9,Yes,Yes,"""service was of excellent quality""",5,5,Not Rated,Not Rated,5,5,4,positive,0.8,satisfied,False,,not_mentioned,positive,negative,neutral,positive,not_mentioned,neutral,not_mentioned,positive,neutral,unfortunate issue of having remote parking in Doha,"service was of excellent quality, WIFI was excellent",False,,,yes,False,False,excellent | quality | service,unfortunate,Improve lounge access for early arrivals. | Address remote parking issues.
7,2026-04-09,2026,4,Qatar,Business Class,Family Leisure,Johannesburg to Doha,Boeing 787-9,6,Yes,Yes,"""Boarding in Johannesburg was chaotic""",3,3,1,4,1,Not Rated,4,neutral,0.1,disappointed,False,,not_mentioned,neutral,negative,neutral,neutral,neutral,negative,neutral,negative,neutral,"chaotic boarding, wrong food",,False,,,maybe,False,False,wonderful experience,chaotic | wrong food | lowest quality,Improve ground operations in JNB | Enhance menu accuracy and quality
8,2026-04-06,2026,4,Qatar,Business Class,Family Leisure,Doha to Johannesburg,Boeing 787-9,10,Yes,No,"""Very comfortable flight""",5,5,4,5,5,3,4,positive,0.9,satisfied,False,,positive,not_mentioned,not_mentioned,positive,negative,not_mentioned,not_mentioned,not_mentioned,positive,not_mentioned,,Very comfortable flight,False,,,yes,False,False,wonderful | comfortable,did not have,Improve WiFi system | Maintain Qsuite comfort
9,2026-03-15,2026,3,Czech Republic,Economy Class,Couple Leisure,Prague to Bangkok via Doha,A380-800,1,No,Yes,"""no realistic re-routing options""",Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,2,negative,-0.85,frustrated,False,,not_mentioned,negative,neutral,neutral,neutral,neutral,neutral,neutral,negative,negative,"Zero Communication, no alternatives",,True,China Airlines,unfavourable_vs_qa,no,False,False,,zero communication | absolute silence | no offer of accommodation | forced to buy a new ticket,Improve communication during disruptions | Offer alternative options to passengers
