review_id,year,seat_type,type_of_traveller,route,overall_rating_10,sentiment_score,top_complaint,frequency,rank
0,2026,Business Class,Couple Leisure,Hong Kong to Doha,9,0.3,no food or used entertainment,1,4
1,2026,Business Class,Couple Leisure,CAN to HKG,6,0.2,sandwich no choice,1,4
2,2026,Economy Class,Business,Guangzhou to Doha,6,0.1,cabin baggage allowance too small,1,4
5,2026,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,5,-0.1,"chaotic check-in, unclear boarding",1,4
6,2026,Business Class,Couple Leisure,LHR to DOH,9,0.8,unfortunate issue of having remote parking in doha,1,4
7,2026,Business Class,Family Leisure,Johannesburg to Doha,6,0.1,"chaotic boarding, wrong food",1,4
9,2026,Economy Class,Couple Leisure,Prague to Bangkok via Doha,1,-0.85,"zero communication, no alternatives",1,4
10,2026,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,10,0.85,return flight cancelled 4 times,1,4
11,2026,Economy Class,Business,Gatwick to Doha,5,-0.3,check in and boarding chaos,1,4
12,2026,Business Class,Couple Leisure,London to Male via Doha,5,-0.7,"champagne ran out early, wine ran out mid-flight",1,4
13,2026,Business Class,Couple Leisure,Doha to Vienna,2,-0.7,"no compensation offered, nothing.",1,4
14,2026,Business Class,Business,Sydney to Doha,2,-0.8,seat in business class was broken,1,4
16,2026,Business Class,Solo Leisure,Doha to Copenhagen,4,-0.8,seat was cramped and uncomfortable,1,4
18,2026,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,8,0.6,"poor f/b choices, unorganized boarding, late bus gate",1,4
19,2026,Economy Class,Family Leisure,Auckland to Lisbon via Doha,4,-0.8,food choices ran out twice,1,4
21,2026,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,5,0.1,"wifi did not work, no butter, cheese or crackers.",1,4
23,2026,Economy Class,Solo Leisure,Abu Dhabi to Doha,1,-0.8,"no support, no transport",1,4
27,2025,Economy Class,Couple Leisure,Hanoi to Dusseldorf via Doha,7,0.2,"food was bad, no shrimp inside",1,4
29,2025,Business Class,Solo Leisure,CPH to DOH,10,0.8,mediocre wi-fi,1,4
31,2025,Economy Class,Family Leisure,Doha to Paris,3,-0.8,segments delayed minimum 1 hour,1,4
34,2025,Economy Class,Solo Leisure,Boston to Muscat via Doha,1,-0.8,"lost bag, no compensation",1,4
35,2025,Economy Class,Couple Leisure,Dusseldorf to Doha,6,-0.6,"only one meal, no pre-landing snack",1,4
36,2025,Business Class,Family Leisure,Doha to Boston,10,0.8,missed flight due to health issue,1,4
37,2025,Economy Class,Family Leisure,Brisbane to Barcelona via Doha,4,-0.8,food came out far less than other airlines,1,4
38,2025,Business Class,Solo Leisure,Doha to Seattle,5,-0.7,"service inattentive, food inedible",1,4
39,2025,Business Class,Business,New York to Nairobi via Doha,9,0.8,crew check out on longhaul flights,1,4
40,2025,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,9,0.8,could not get the wifi to work,1,4
41,2025,Economy Class,Solo Leisure,Doha to Frankfurt,1,-0.8,"missed connection, no hotel",1,4
42,2025,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,9,0.85,menzie lounge was very ordinary,1,4
43,2025,Economy Class,Couple Leisure,Doha to Brisbane,6,-0.3,noisy pa gong sound,1,4
45,2025,Business Class,Solo Leisure,London to Doha,8,-0.2,"poor meal options, poor internal lighting",1,4
48,2025,First Class,Couple Leisure,Doha to Muscat,9,0.8,no starlink wifi on short flight,1,4
52,2025,Economy Class,Solo Leisure,Doha to Lisbon,4,-0.8,"priority line not working, last on flight",1,4
54,2025,Business Class,Solo Leisure,Düsseldorf to Doha,6,0.6,contrast lounge had a long queue,1,4
56,2025,Economy Class,Business,Medina to Amsterdam via Doha,5,-0.75,absence of business class and lounges,1,4
57,2025,Business Class,Solo Leisure,Bangkok to Doha,1,-0.8,"seat could not be adjusted, power failure",1,4
58,2025,Economy Class,Family Leisure,Dusseldorf to Doha,1,-0.3,"fragile luggage damaged, no compensation",1,4
60,2025,Business Class,Solo Leisure,Doha to Munich,5,-0.6,ife did not work and could not be fixed.,1,4
62,2025,Business Class,Couple Leisure,Rome to Singapore via Doha,1,-0.8,"no notification, no reply from qatar.",1,4
63,2025,First Class,Solo Leisure,Doha to Amman,6,-0.3,bus ride from terminal was hot.,1,4
65,2025,Business Class,Business,Frankfurt to Bangkok via Doha,5,-0.3,poor food and wine quality,1,4
67,2025,Business Class,Solo Leisure,Doha to Frankfurt,8,0.6,boarding not well organised.,1,4
68,2025,Business Class,Solo Leisure,Bangkok to Doha,5,0.2,poor quality lounge and on board food,1,4
73,2025,Business Class,Business,Sharjah to Moscow via Doha,4,-0.8,aircraft swapped to outdated model,1,4
74,2025,Economy Class,Solo Leisure,Johannesburg to Vienna,1,-0.8,missed flight due to staff inefficiency,1,4
75,2025,Business Class,Solo Leisure,Doha to Copenhagen,10,0.9,wifi was patchy,1,4
76,2025,Business Class,Solo Leisure,Goa to Doha,10,0.8,paid wifi was virtually unusable,1,4
77,2025,Economy Class,Family Leisure,Warsaw to Seychelles via Doha,5,-0.6,cabin temperature was freezing,1,4
79,2025,Economy Class,Family Leisure,Bangkok to Cape Town via Doha,3,-0.8,inflight entertainment not working,1,4
82,2025,Economy Class,Family Leisure,Melbourne to Venice via Athens,1,-0.9,"8h 30m delay at doha airport, lost a day of holiday",1,4
85,2025,Business Class,Solo Leisure,Copenhagen to Doha,9,0.7,wifi connection was sluggish and unreliable,1,4
86,2025,Business Class,Solo Leisure,Doha to Goa,9,0.8,wifi service was patchy.,1,4
87,2025,Business Class,Business,Hong Kong to Sao Paulo via Doha,2,-0.8,"staff unhelpful, long wait at airport",1,4
88,2025,Economy Class,Solo Leisure,Doha to Bangkok,2,-0.8,"chaos at boarding, late start, messy procedure",1,4
89,2025,Economy Class,Business,Singapore to Madrid via Doha,1,-0.8,"flight cancelled, had to book another one",1,4
90,2025,Economy Class,Solo Leisure,Bangkok to London Heathrow via Doha,7,-0.2,poor food quality,3,2
91,2025,Economy Class,Couple Leisure,Denpasar to Vienna via Doha,3,-0.8,77 minutes late arrival,1,4
93,2025,Business Class,Solo Leisure,Doha to London Heathrow,8,0.7,wifi chats were loud and disruptive,1,4
95,2025,Business Class,Solo Leisure,Addis Ababa to Doha,5,0.2,poor food selection and uncleared tables,1,4
96,2025,Business Class,Solo Leisure,Doha to Addis Ababa,8,0.8,boarding via gate rather unorganised.,1,4
97,2025,Economy Class,Solo Leisure,Bangkok to Doha,6,0.2,"poor breakfast options, no access to own lounge",1,4
99,2025,First Class,Family Leisure,Doha to Beirut,7,0.2,ife was non existent and wifi became non existent.,1,4
102,2025,Economy Class,Couple Leisure,Prague to Cape Town via Doha,6,-0.3,seats are terribly uncomfortable,1,4
103,2025,Economy Class,Solo Leisure,Lahore to London via Doha,5,-0.8,rudely told i couldn't be moved,1,4
105,2025,First Class,Couple Leisure,Dublin to Sydney via Doha,6,-0.2,food was really bad.,1,4
106,2025,Economy Class,Business,Singapore to Doha,3,-0.8,in-flight staff appeared exhausted,1,4
108,2025,Business Class,Couple Leisure,Doha to London Heathrow,8,0.7,ife game selection was poor,1,4
109,2025,Economy Class,Couple Leisure,Baku to Guangzhou via Doha,3,-0.8,flight didn’t qualify for qpoints,1,4
111,2025,Business Class,Solo Leisure,Rome to Doha,10,0.9,music was too loud during boarding,1,4
113,2025,Business Class,Family Leisure,Male to Doha,10,0.8,steak overdone and unchewable,1,4
116,2025,Business Class,Family Leisure,Doha to Male,9,0.8,long queues and pressure on sea planes,1,4
117,2025,Economy Class,Solo Leisure,Tokyo to Sofia via Doha,3,-0.8,frequent meal service issues and outdated ife system,1,4
119,2025,Economy Class,Solo Leisure,Perth to London Heathrow via Doha,2,-0.8,"cancelled flight, long delay, no refund",1,4
120,2025,Economy Class,Family Leisure,Doha to Seattle,1,-0.85,"cabin was unbearably cold, no help for over an hour",1,4
121,2025,Economy Class,Solo Leisure,Mumbai to Maputo via Doha,2,-0.8,could have just let me move and allowed comfort,1,4
122,2025,Economy Class,Solo Leisure,Maputo to Mumbai via Doha,6,-0.3,indigo service not up to expectations,1,4
126,2025,First Class,Business,Damman to Doha,2,-0.8,endless circle of unresponsive bureaucracy,1,4
127,2025,Economy Class,Solo Leisure,Dubai to Doha,4,-0.6,chaotic transfer at hamad airport,1,4
128,2025,Economy Class,Solo Leisure,Bangkok to Doha,6,0.6,30 minutes late boarding and wait at air bridge,1,4
129,2025,Business Class,Business,Chicago to Doha,1,-0.8,"aircraft not notified, old configuration",1,4
130,2025,Economy Class,Solo Leisure,Gatwick to Colombo via Doha,3,-0.3,food and drinks delayed significantly,1,4
132,2025,Business Class,Couple Leisure,Melbourne to Gatwick via Doha,1,-0.8,discourteous security staff,1,4
133,2025,Economy Class,Family Leisure,Miami to Doha,6,-0.2,"food items unavailable, quantity needs improvement",1,4
134,2025,Economy Class,Family Leisure,Doha to Ahmedabad,7,0.6,"headrests were uncomfortable, no window seat",1,4
137,2025,Business Class,Solo Leisure,Bangkok to Doha,7,0.3,"female staff were sour, food cold",1,4
138,2025,Economy Class,Solo Leisure,London Heathrow to Hong Kong via Doha,1,-0.8,customer services obstructive and unhelpful,1,4
140,2025,Business Class,Business,Kuala Lumpur to Houston via Doha,9,0.8,price was high compared to other airlines,1,4
144,2025,Economy Class,Solo Leisure,Calicut to Dammam via Doha,4,0.2,check-in at calicut was slow,1,4
148,2025,Economy Class,Couple Leisure,Barcelona to Doha,2,-0.8,food service and food choices were poor.,1,4
149,2025,Business Class,Family Leisure,Munich to Doha,6,0.7,malaysia airlines food was terrible,1,4
150,2025,Economy Class,Couple Leisure,Barcelona to Doha,5,-0.8,"flight attendants unfriendly, seat uncomfortable, food bad",1,4
153,2024,Economy Class,Solo Leisure,Helsinki to Guangzhou via Doha,1,-0.8,"incompetent staff, missed connection not handled properly",1,4
154,2024,Economy Class,Solo Leisure,Hong Kong to Paris CDG via Doha,3,-0.8,"disgusting snack, burnt coffee",1,4
156,2024,Economy Class,Solo Leisure,Athens to Tokyo via Doha,4,-0.2,"poor service, slow attendants",1,4
159,2024,Business Class,Solo Leisure,Denpasar to Doha,10,0.9,but not free basic wifi.,1,4
160,2024,Business Class,Business,Madrid to Johannesburg via Doha,1,-0.8,downgraded to old 777 with no divider or privacy,1,4
161,2024,Economy Class,Business,Doha to Penang via Phuket,5,-0.8,confusion from flight attendants,1,4
162,2024,Economy Class,Family Leisure,Boston to Chennai via Doha,5,-0.3,food too bland or salty,1,4
163,2024,Economy Class,Couple Leisure,Maldives to Copenhagen,5,-0.8,long wait for boarding passes,1,4
166,2024,Business Class,Solo Leisure,Osaka to Doha,5,-0.8,"unhelpful customer service, unavailable qsuite",1,4
168,2024,Economy Class,Solo Leisure,Doha to London Heathrow,9,0.7,bland chicken sandwich,1,4
169,2024,Economy Class,Solo Leisure,Kathmandu to Doha,9,-0.3,"chaotic check-in, late departure, long bus ride",1,4
170,2024,Economy Class,Solo Leisure,London to Doha,9,0.7,long queues for self-service check-in,1,4
171,2024,Economy Class,Solo Leisure,Doha to Kathmandu,9,0.7,difficult to reserve seat in advance,1,4
172,2024,Economy Class,Family Leisure,Delhi to Duesseldorf via Doha,2,-0.8,"long check-in queue, unattended counters",1,4
173,2024,Economy Class,Solo Leisure,Doha to Dubai,2,-0.8,food did not taste good,1,4
175,2024,Economy Class,Couple Leisure,Ho Chi Minh City to Barcelona via Doha,2,-0.8,"dirty bathrooms, lost luggage",1,4
176,2024,Business Class,Business,Doha to New York,1,-0.8,service was slow for 8 hours,1,4
177,2024,Economy Class,Solo Leisure,New York to Mumbai via Doha,4,-0.8,poor quality food and entertainment options,1,4
178,2024,Economy Class,Couple Leisure,Kathmandu to Doha,1,-0.8,qatar never accommodated me to take one of the available flights.,1,4
179,2024,Economy Class,Solo Leisure,Bengaluru to London Heathrow,4,-0.3,"unhelpful ticketing staff, no jet bridge",1,4
180,2024,Business Class,Solo Leisure,Melbourne to Nairobi via Doha,7,-0.3,fa reluctant to serve champagne,1,4
181,2024,Business Class,Business,Doha to Milan,1,-0.8,"cold omelette, milk instead of cappuccino",1,4
182,2024,Business Class,Business,London to Kathmandu via Doha,1,-0.8,"cancelled flight, no accommodation",1,4
183,2024,Economy Class,Solo Leisure,Madrid to Katmandu via Doha,1,-0.9,no alternative route offered,1,4
